INFO:root:Metrics for image 1: {'duration': 23.654409408569336, 'gpu_utilization': 77, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 40331, 'gpu_temperature': 50.0, 'gpu_power_draw': 318.98, 'ondemand_cost': 0.21534054431862304, 'reserved_one_year_cost': 0.13256325272719066, 'reserved_three_year_cost': 0.0821267953326967, 'spot_cost': 0.04071843752914005, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 2: {'duration': 21.21677327156067, 'gpu_utilization': 78, 'gpu_memory_utilization': 40.90087890625, 'gpu_memory_used': 16753, 'gpu_memory_free': 39691, 'gpu_temperature': 53.0, 'gpu_power_draw': 326.92, 'ondemand_cost': 0.19314925289690496, 'reserved_one_year_cost': 0.11890233354270459, 'reserved_three_year_cost': 0.07366345808923246, 'spot_cost': 0.036522317767739294, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 3: {'duration': 19.553906679153442, 'gpu_utilization': 82, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 52.0, 'gpu_power_draw': 322.85, 'ondemand_cost': 0.17801116210997106, 'reserved_one_year_cost': 0.10958335201442242, 'reserved_three_year_cost': 0.06789007766187191, 'spot_cost': 0.033659877691864966, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 4: {'duration': 19.554924964904785, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 317.83, 'ondemand_cost': 0.17802043218745128, 'reserved_one_year_cost': 0.10958905865748725, 'reserved_three_year_cost': 0.06789361309342914, 'spot_cost': 0.03366163055764305, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 5: {'duration': 19.53371024131775, 'gpu_utilization': 79, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 54.0, 'gpu_power_draw': 333.68, 'ondemand_cost': 0.1778273015940852, 'reserved_one_year_cost': 0.10947016781071824, 'reserved_three_year_cost': 0.06781995675173072, 'spot_cost': 0.03362511176817947, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 6: {'duration': 20.575291395187378, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 53.0, 'gpu_power_draw': 325.12, 'ondemand_cost': 0.18730945135957666, 'reserved_one_year_cost': 0.1153073621938626, 'reserved_three_year_cost': 0.07143626865234641, 'spot_cost': 0.03541807799332672, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 7: {'duration': 19.541929721832275, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 332.29, 'ondemand_cost': 0.1779021285482248, 'reserved_one_year_cost': 0.10951623114943504, 'reserved_three_year_cost': 0.06784849433143934, 'spot_cost': 0.033639260690609615, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 8: {'duration': 20.564111471176147, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 53.0, 'gpu_power_draw': 324.84, 'ondemand_cost': 0.18720767367912666, 'reserved_one_year_cost': 0.115244708036383, 'reserved_three_year_cost': 0.0713974525772863, 'spot_cost': 0.03539883299635516, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 9: {'duration': 19.568418741226196, 'gpu_utilization': 80, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 53.0, 'gpu_power_draw': 324.05, 'ondemand_cost': 0.17814327427950172, 'reserved_one_year_cost': 0.10966468002895514, 'reserved_three_year_cost': 0.06794046273516284, 'spot_cost': 0.03368485859427187, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 10: {'duration': 19.540316820144653, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 53.0, 'gpu_power_draw': 319.63, 'ondemand_cost': 0.17788744531850023, 'reserved_one_year_cost': 0.10950719217956068, 'reserved_three_year_cost': 0.06784289442638557, 'spot_cost': 0.033636484259565676, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 11: {'duration': 20.591379165649414, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 320.56, 'ondemand_cost': 0.18745590816550786, 'reserved_one_year_cost': 0.11539752074082692, 'reserved_three_year_cost': 0.07149212449762556, 'spot_cost': 0.03544577130264706, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
