:::MLLOG {"namespace": "", "time_ms": 1719784731505, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 24.036490440368652, "gpu_utilization": 76, "gpu_memory_utilization": 16.183376451403277, "gpu_memory_used": 13199, "gpu_memory_free": 81000, "gpu_temperature": 48.0, "gpu_power_draw": 323.45, "ondemand_cost": 0.6564632611380682, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.2881507827597194, "spot_cost": 0.22607654619746737, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784749977, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.634682655334473, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 51.0, "gpu_power_draw": 330.05, "ondemand_cost": 0.42700055518680147, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18742944426563052, "spot_cost": 0.14705287630822925, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784768345, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.63944125175476, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 52.0, "gpu_power_draw": 329.93, "ondemand_cost": 0.4271305177423689, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1874864905838834, "spot_cost": 0.14709763355122674, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784786775, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.63967227935791, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 53.0, "gpu_power_draw": 324.03, "ondemand_cost": 0.4271368273629082, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18748926015562478, "spot_cost": 0.147099806494183, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784805147, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.627008438110352, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 54.0, "gpu_power_draw": 329.21, "ondemand_cost": 0.4267909637875027, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18733744532320235, "spot_cost": 0.14698069603178238, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784823460, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.618757247924805, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 54.0, "gpu_power_draw": 329.96, "ondemand_cost": 0.4265656146155463, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18723852959685855, "spot_cost": 0.14690308900409274, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784842904, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 16.688257694244385, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80200, "gpu_temperature": 55.0, "gpu_power_draw": 332.38, "ondemand_cost": 0.45577486013836327, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.20005976036402914, "spot_cost": 0.15696233486864303, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784861354, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.640976190567017, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 332.26, "ondemand_cost": 0.4271724386268192, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1875048915156391, "spot_cost": 0.14711207050349978, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784879930, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.634723663330078, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 331.53, "ondemand_cost": 0.4270016751607259, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18742993587176004, "spot_cost": 0.14705326201121013, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784898338, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.629617691040039, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 329.31, "ondemand_cost": 0.42686222538418234, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1873687251922819, "spot_cost": 0.14700523750517103, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784916949, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.640170812606812, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 329.27, "ondemand_cost": 0.42715044285986153, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1874952365999089, "spot_cost": 0.14710449547635185, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
